Timestamp,Millis,Myo0,Myo1,Myo2,Myo3
Fri Nov 22 20:57:15 2024,500,578.897,76.724,244.897,578.345
Fri Nov 22 20:57:15 2024,505,578.379,75.345,244.379,580.069
Fri Nov 22 20:57:15 2024,510,577.862,73.966,243.862,581.793
Fri Nov 22 20:57:15 2024,515,577.345,72.586,243.345,583.517
Fri Nov 22 20:57:15 2024,520,576.828,71.207,242.828,585.241
Fri Nov 22 20:57:15 2024,525,576.310,69.828,242.310,586.966
Fri Nov 22 20:57:15 2024,530,610.000,74.000,248.500,603.500
Fri Nov 22 20:57:15 2024,535,641.880,91.480,248.920,604.280
Fri Nov 22 20:57:15 2024,540,641.680,87.280,247.120,603.080
Fri Nov 22 20:57:15 2024,545,641.480,83.080,245.320,601.880
Fri Nov 22 20:57:15 2024,550,641.280,78.880,243.520,600.680
Fri Nov 22 20:57:15 2024,555,641.080,74.680,241.720,599.480
Fri Nov 22 20:57:15 2024,560,636.000,81.267,247.267,606.133
Fri Nov 22 20:57:15 2024,565,638.500,81.933,247.933,603.967
Fri Nov 22 20:57:15 2024,570,641.000,82.600,248.600,601.800
Fri Nov 22 20:57:15 2024,575,643.500,83.267,249.267,599.633
Fri Nov 22 20:57:15 2024,580,646.000,83.933,249.933,597.467
Fri Nov 22 20:57:15 2024,585,648.500,84.600,250.600,595.300
Fri Nov 22 20:57:15 2024,590,640.345,80.069,249.241,591.655
Fri Nov 22 20:57:15 2024,595,642.069,80.414,250.448,589.931
Fri Nov 22 20:57:15 2024,600,643.793,80.759,251.655,588.207
Fri Nov 22 20:57:15 2024,605,645.517,81.103,252.862,586.483
Fri Nov 22 20:57:15 2024,610,647.241,81.448,254.069,584.759
Fri Nov 22 20:57:15 2024,615,648.966,81.793,255.276,583.034
Fri Nov 22 20:57:15 2024,620,640.000,70.000,253.000,600.000
Fri Nov 22 20:57:15 2024,625,646.846,81.385,254.154,585.462
Fri Nov 22 20:57:15 2024,630,646.462,79.846,254.538,586.615
Fri Nov 22 20:57:15 2024,635,646.077,78.308,254.923,587.769
Fri Nov 22 20:57:15 2024,640,645.692,76.769,255.308,588.923
Fri Nov 22 20:57:15 2024,645,645.308,75.231,255.692,590.077
Fri Nov 22 20:57:15 2024,650,662.000,82.000,254.000,602.000
Fri Nov 22 20:57:15 2024,655,663.638,81.914,254.948,602.690
Fri Nov 22 20:57:15 2024,660,665.276,81.828,255.897,603.379
Fri Nov 22 20:57:15 2024,665,666.914,81.741,256.845,604.069
Fri Nov 22 20:57:15 2024,670,668.552,81.655,257.793,604.759
Fri Nov 22 20:57:15 2024,675,670.190,81.569,258.741,605.448
Fri Nov 22 20:57:15 2024,680,671.828,81.483,259.690,606.138
Fri Nov 22 20:57:15 2024,685,673.466,81.397,260.638,606.828
Fri Nov 22 20:57:15 2024,690,675.103,81.310,261.586,607.517
Fri Nov 22 20:57:15 2024,695,676.741,81.224,262.534,608.207
Fri Nov 22 20:57:15 2024,700,678.379,81.138,263.483,608.897
Fri Nov 22 20:57:15 2024,705,680.017,81.052,264.431,609.586
Fri Nov 22 20:57:15 2024,710,645.966,73.138,255.966,625.172
Fri Nov 22 20:57:15 2024,715,645.793,73.828,255.793,626.034
Fri Nov 22 20:57:15 2024,720,645.621,74.517,255.621,626.897
Fri Nov 22 20:57:15 2024,725,645.448,75.207,255.448,627.759
Fri Nov 22 20:57:15 2024,730,645.276,75.897,255.276,628.621
Fri Nov 22 20:57:15 2024,735,645.103,76.586,255.103,629.483
Fri Nov 22 20:57:15 2024,740,665.000,82.000,272.000,648.000
Fri Nov 22 20:57:15 2024,745,667.857,80.929,271.464,648.536
Fri Nov 22 20:57:15 2024,750,670.714,79.857,270.929,649.071
Fri Nov 22 20:57:15 2024,755,673.571,78.786,270.393,649.607
Fri Nov 22 20:57:15 2024,760,676.429,77.714,269.857,650.143
Fri Nov 22 20:57:15 2024,765,679.286,76.643,269.321,650.679
Fri Nov 22 20:57:15 2024,770,713.267,81.167,272.267,668.800
Fri Nov 22 20:57:15 2024,775,714.600,82.000,273.600,672.800
Fri Nov 22 20:57:15 2024,780,715.933,82.833,274.933,676.800
Fri Nov 22 20:57:15 2024,785,717.267,83.667,276.267,680.800
Fri Nov 22 20:57:15 2024,790,718.600,84.500,277.600,684.800
Fri Nov 22 20:57:15 2024,795,719.933,85.333,278.933,688.800
Fri Nov 22 20:57:15 2024,800,745.000,85.000,281.000,719.000
Fri Nov 22 20:57:15 2024,805,750.179,85.179,281.000,719.714
Fri Nov 22 20:57:15 2024,810,755.357,85.357,281.000,720.429
Fri Nov 22 20:57:15 2024,815,760.536,85.536,281.000,721.143
Fri Nov 22 20:57:15 2024,820,765.714,85.714,281.000,721.857
Fri Nov 22 20:57:15 2024,825,770.893,85.893,281.000,722.571
Fri Nov 22 20:57:15 2024,830,767.000,89.000,286.000,739.000
Fri Nov 22 20:57:15 2024,835,758.207,88.483,283.586,731.241
Fri Nov 22 20:57:15 2024,840,749.414,87.966,281.172,723.483
Fri Nov 22 20:57:15 2024,845,740.621,87.448,278.759,715.724
Fri Nov 22 20:57:15 2024,850,731.828,86.931,276.345,707.966
Fri Nov 22 20:57:15 2024,855,723.034,86.414,273.931,700.207
Fri Nov 22 20:57:15 2024,860,714.500,87.500,273.500,700.500
Fri Nov 22 20:57:15 2024,865,700.385,88.308,282.769,690.615
Fri Nov 22 20:57:15 2024,870,697.692,87.154,282.385,688.308
Fri Nov 22 20:57:15 2024,875,695.000,86.000,282.000,686.000
Fri Nov 22 20:57:15 2024,880,692.308,84.846,281.615,683.692
Fri Nov 22 20:57:15 2024,885,689.615,83.692,281.231,681.385
Fri Nov 22 20:57:15 2024,890,681.138,81.931,276.241,710.207
Fri Nov 22 20:57:15 2024,895,676.828,81.586,277.448,706.241
Fri Nov 22 20:57:15 2024,900,672.517,81.241,278.655,702.276
Fri Nov 22 20:57:15 2024,905,668.207,80.897,279.862,698.310
Fri Nov 22 20:57:15 2024,910,663.897,80.552,281.069,694.345
Fri Nov 22 20:57:15 2024,915,659.586,80.207,282.276,690.379
Fri Nov 22 20:57:15 2024,920,680.167,82.333,273.333,687.833
Fri Nov 22 20:57:15 2024,925,681.000,79.000,275.000,682.000
Fri Nov 22 20:57:15 2024,930,658.429,86.857,266.714,694.571
Fri Nov 22 20:57:15 2024,935,659.143,84.952,264.571,698.857
Fri Nov 22 20:57:15 2024,940,659.857,83.048,262.429,703.143
Fri Nov 22 20:57:15 2024,945,660.571,81.143,260.286,707.429
Fri Nov 22 20:57:15 2024,950,633.379,83.000,269.034,688.103
Fri Nov 22 20:57:15 2024,955,635.276,83.000,269.207,688.621
Fri Nov 22 20:57:15 2024,960,637.172,83.000,269.379,689.138
Fri Nov 22 20:57:15 2024,965,639.069,83.000,269.552,689.655
Fri Nov 22 20:57:15 2024,970,640.966,83.000,269.724,690.172
Fri Nov 22 20:57:15 2024,975,642.862,83.000,269.897,690.690
Fri Nov 22 20:57:15 2024,980,648.034,73.310,257.000,678.483
Fri Nov 22 20:57:15 2024,985,648.207,74.862,257.000,675.897
Fri Nov 22 20:57:15 2024,990,648.379,76.414,257.000,673.310
Fri Nov 22 20:57:15 2024,995,648.552,77.966,257.000,670.724
Fri Nov 22 20:57:16 2024,0,648.724,79.517,257.000,668.138
Fri Nov 22 20:57:16 2024,5,648.897,81.069,257.000,665.552
Fri Nov 22 20:57:16 2024,10,651.897,87.897,263.793,637.138
Fri Nov 22 20:57:16 2024,15,651.379,87.379,262.759,637.828
Fri Nov 22 20:57:16 2024,20,650.862,86.862,261.724,638.517
Fri Nov 22 20:57:16 2024,25,650.345,86.345,260.690,639.207
Fri Nov 22 20:57:16 2024,30,649.828,85.828,259.655,639.897
Fri Nov 22 20:57:16 2024,35,649.310,85.310,258.621,640.586
Fri Nov 22 20:57:16 2024,40,608.138,86.793,263.586,635.069
Fri Nov 22 20:57:16 2024,45,608.828,85.759,261.517,635.414
Fri Nov 22 20:57:16 2024,50,609.517,84.724,259.448,635.759
Fri Nov 22 20:57:16 2024,55,610.207,83.690,257.379,636.103
Fri Nov 22 20:57:16 2024,60,610.897,82.655,255.310,636.448
Fri Nov 22 20:57:16 2024,65,611.586,81.621,253.241,636.793
Fri Nov 22 20:57:16 2024,70,611.000,73.000,272.000,631.000
Fri Nov 22 20:57:16 2024,75,615.107,74.607,270.036,629.750
Fri Nov 22 20:57:16 2024,80,619.214,76.214,268.071,628.500
Fri Nov 22 20:57:16 2024,85,623.321,77.821,266.107,627.250
Fri Nov 22 20:57:16 2024,90,627.429,79.429,264.143,626.000
Fri Nov 22 20:57:16 2024,95,631.536,81.036,262.179,624.750
Fri Nov 22 20:57:16 2024,100,615.897,75.414,254.552,650.069
Fri Nov 22 20:57:16 2024,105,615.379,77.483,252.310,650.414
Fri Nov 22 20:57:16 2024,110,614.862,79.552,250.069,650.759
Fri Nov 22 20:57:16 2024,115,614.345,81.621,247.828,651.103
Fri Nov 22 20:57:16 2024,120,613.828,83.690,245.586,651.448
Fri Nov 22 20:57:16 2024,125,613.310,85.759,243.345,651.793
Fri Nov 22 20:57:16 2024,130,606.000,84.000,254.000,671.000
Fri Nov 22 20:57:16 2024,135,683.269,87.308,261.346,668.423
Fri Nov 22 20:57:16 2024,140,680.385,86.154,261.923,667.462
Fri Nov 22 20:57:16 2024,145,677.500,85.000,262.500,666.500
Fri Nov 22 20:57:16 2024,150,674.615,83.846,263.077,665.538
Fri Nov 22 20:57:16 2024,155,671.731,82.692,263.654,664.577
Fri Nov 22 20:57:16 2024,160,680.414,81.207,277.345,660.172
Fri Nov 22 20:57:16 2024,165,682.483,82.241,274.069,656.034
Fri Nov 22 20:57:16 2024,170,684.552,83.276,270.793,651.897
Fri Nov 22 20:57:16 2024,175,686.621,84.310,267.517,647.759
Fri Nov 22 20:57:16 2024,180,688.690,85.345,264.241,643.621
Fri Nov 22 20:57:16 2024,185,690.759,86.379,260.966,639.483
Fri Nov 22 20:57:16 2024,190,655.793,84.034,259.241,616.931
Fri Nov 22 20:57:16 2024,195,654.759,84.207,260.448,621.586
Fri Nov 22 20:57:16 2024,200,653.724,84.379,261.655,626.241
Fri Nov 22 20:57:16 2024,205,652.690,84.552,262.862,630.897
Fri Nov 22 20:57:16 2024,210,651.655,84.724,264.069,635.552
Fri Nov 22 20:57:16 2024,215,650.621,84.897,265.276,640.207
Fri Nov 22 20:57:16 2024,220,667.000,79.000,266.000,613.000
Fri Nov 22 20:57:16 2024,225,694.481,80.852,270.407,610.074
