Timestamp,Millis,Myo0,Myo1,Myo2,Myo3
Fri Nov 22 19:34:57 2024,745,596,128,285,745
Fri Nov 22 19:34:57 2024,746,585,132,279,757
Fri Nov 22 19:34:57 2024,746,579,143,282,749
Fri Nov 22 19:34:57 2024,746,576,135,276,723
Fri Nov 22 19:34:57 2024,747,574,136,272,719
Fri Nov 22 19:34:57 2024,777,585,132,269,744
Fri Nov 22 19:34:57 2024,778,577,128,257,756
Fri Nov 22 19:34:57 2024,779,576,134,239,758
Fri Nov 22 19:34:57 2024,779,570,124,225,739
Fri Nov 22 19:34:57 2024,780,571,130,242,725
Fri Nov 22 19:34:57 2024,781,557,129,233,709
Fri Nov 22 19:34:57 2024,805,560,130,243,721
Fri Nov 22 19:34:57 2024,806,549,132,243,709
Fri Nov 22 19:34:57 2024,806,551,133,244,690
Fri Nov 22 19:34:57 2024,806,555,139,248,686
Fri Nov 22 19:34:57 2024,807,543,132,245,681
Fri Nov 22 19:34:57 2024,810,554,132,237,688
Fri Nov 22 19:34:57 2024,835,577,132,253,679
Fri Nov 22 19:34:57 2024,836,573,129,246,683
Fri Nov 22 19:34:57 2024,837,577,136,252,697
Fri Nov 22 19:34:57 2024,865,575,122,246,697
Fri Nov 22 19:34:57 2024,865,567,121,232,697
Fri Nov 22 19:34:57 2024,866,570,127,224,696
Fri Nov 22 19:34:57 2024,866,579,128,225,693
Fri Nov 22 19:34:57 2024,866,559,127,221,690
Fri Nov 22 19:34:57 2024,867,562,133,232,707
Fri Nov 22 19:34:57 2024,867,576,127,228,704
Fri Nov 22 19:34:57 2024,896,575,130,235,718
Fri Nov 22 19:34:57 2024,897,563,131,227,714
Fri Nov 22 19:34:57 2024,897,556,122,220,705
Fri Nov 22 19:34:57 2024,925,555,114,216,683
Fri Nov 22 19:34:57 2024,928,555,117,216,682
Fri Nov 22 19:34:57 2024,930,544,124,222,681
Fri Nov 22 19:34:57 2024,931,538,131,226,692
Fri Nov 22 19:34:57 2024,931,540,139,221,708
Fri Nov 22 19:34:57 2024,931,535,137,219,706
Fri Nov 22 19:34:57 2024,931,540,135,225,685
Fri Nov 22 19:34:57 2024,955,550,142,219,687
Fri Nov 22 19:34:57 2024,956,540,147,212,703
Fri Nov 22 19:34:57 2024,956,541,142,216,702
Fri Nov 22 19:34:57 2024,956,544,152,214,687
