Timestamp,Millis,Myo0,Myo1,Myo2,Myo3,Myo4,Myo5,Myo6,Myo7
Thu Dec 05 12:56:06 2024,670,123.000,59.000,110.000,903.000,114.000,30.000,796.000,18.000
Thu Dec 05 12:56:06 2024,675,119.923,58.308,109.231,899.923,120.000,33.538,796.462,17.538
Thu Dec 05 12:56:06 2024,680,118.577,58.692,108.269,898.577,120.000,32.962,797.038,16.962
Thu Dec 05 12:56:06 2024,685,117.231,59.077,107.308,897.231,120.000,32.385,797.615,16.385
Thu Dec 05 12:56:06 2024,690,115.885,59.462,106.346,895.885,120.000,31.808,798.192,15.808
Thu Dec 05 12:56:06 2024,695,114.538,59.846,105.385,894.538,120.000,31.231,798.769,15.231
Thu Dec 05 12:56:06 2024,700,115.000,68.000,116.000,900.000,130.000,43.000,784.000,17.000
Thu Dec 05 12:56:06 2024,705,115.690,67.828,114.793,899.655,128.448,41.448,780.552,17.172
Thu Dec 05 12:56:06 2024,710,116.379,67.655,113.586,899.310,126.897,39.897,777.103,17.345
Thu Dec 05 12:56:06 2024,715,117.069,67.483,112.379,898.966,125.345,38.345,773.655,17.517
Thu Dec 05 12:56:06 2024,720,117.759,67.310,111.172,898.621,123.793,36.793,770.207,17.690
Thu Dec 05 12:56:06 2024,725,118.448,67.138,109.966,898.276,122.241,35.241,766.759,17.862
Thu Dec 05 12:56:06 2024,730,118.000,63.000,96.000,895.000,128.000,31.000,759.000,17.000
Thu Dec 05 12:56:06 2024,735,122.649,65.579,97.491,897.860,130.228,30.140,783.947,15.281
Thu Dec 05 12:56:06 2024,740,122.211,65.053,98.105,897.684,129.263,30.316,782.632,15.632
Thu Dec 05 12:56:06 2024,745,121.772,64.526,98.719,897.509,128.298,30.491,781.316,15.982
Thu Dec 05 12:56:06 2024,750,121.333,64.000,99.333,897.333,127.333,30.667,780.000,16.333
Thu Dec 05 12:56:06 2024,755,120.895,63.474,99.947,897.158,126.368,30.842,778.684,16.684
Thu Dec 05 12:56:06 2024,760,120.456,62.947,100.561,896.982,125.404,31.018,777.368,17.035
Thu Dec 05 12:56:06 2024,765,120.018,62.421,101.175,896.807,124.439,31.193,776.053,17.386
Thu Dec 05 12:56:06 2024,770,119.579,61.895,101.789,896.632,123.474,31.368,774.737,17.737
Thu Dec 05 12:56:06 2024,775,119.140,61.368,102.404,896.456,122.509,31.544,773.421,18.088
Thu Dec 05 12:56:06 2024,780,118.702,60.842,103.018,896.281,121.544,31.719,772.105,18.439
Thu Dec 05 12:56:06 2024,785,118.263,60.316,103.632,896.105,120.579,31.895,770.789,18.789
Thu Dec 05 12:56:06 2024,790,119.000,57.000,106.000,888.000,121.000,32.000,801.000,17.000
Thu Dec 05 12:56:06 2024,795,124.000,57.846,106.077,899.462,112.308,32.000,759.692,12.462
Thu Dec 05 12:56:06 2024,800,124.000,57.462,106.269,898.115,113.077,32.000,761.423,13.615
Thu Dec 05 12:56:06 2024,805,124.000,57.077,106.462,896.769,113.846,32.000,763.154,14.769
