Timestamp,Millis,Myo0,Myo1,Myo2,Myo3,Myo4,Myo5,Myo6,Myo7
Thu Dec 05 12:51:15 2024,541,119,44,86,335,151,30,901,18
Thu Dec 05 12:51:15 2024,542,119,46,81,342,155,31,905,17
Thu Dec 05 12:51:15 2024,542,122,44,88,340,147,32,907,15
Thu Dec 05 12:51:15 2024,570,125,54,87,354,173,32,903,15
Thu Dec 05 12:51:15 2024,571,120,42,88,348,163,28,902,16
Thu Dec 05 12:51:15 2024,571,116,49,90,361,156,28,902,19
Thu Dec 05 12:51:15 2024,571,118,48,96,362,164,33,899,19
Thu Dec 05 12:51:15 2024,573,123,58,111,405,148,31,906,16
Thu Dec 05 12:51:15 2024,601,124,46,118,432,150,32,908,17
Thu Dec 05 12:51:15 2024,601,122,53,106,405,162,30,904,15
Thu Dec 05 12:51:15 2024,601,126,44,112,390,157,28,907,17
Thu Dec 05 12:51:15 2024,602,124,45,107,377,152,28,903,19
Thu Dec 05 12:51:15 2024,631,124,41,110,376,155,33,904,15
Thu Dec 05 12:51:15 2024,631,126,48,111,368,157,32,903,14
Thu Dec 05 12:51:15 2024,632,121,47,124,356,151,31,904,16
Thu Dec 05 12:51:15 2024,632,127,45,123,363,155,33,896,16
Thu Dec 05 12:51:15 2024,661,135,52,122,356,151,33,906,14
Thu Dec 05 12:51:15 2024,662,121,49,127,345,166,28,900,17
Thu Dec 05 12:51:15 2024,663,129,48,132,341,159,31,896,17
Thu Dec 05 12:51:15 2024,664,128,46,140,368,147,29,902,14
Thu Dec 05 12:51:15 2024,691,121,44,144,373,169,34,909,19
Thu Dec 05 12:51:15 2024,691,124,52,155,365,207,30,905,16
Thu Dec 05 12:51:15 2024,692,134,53,153,359,220,33,896,15
Thu Dec 05 12:51:15 2024,692,126,49,150,346,229,33,904,34
Thu Dec 05 12:51:15 2024,692,131,55,168,329,227,32,902,16
Thu Dec 05 12:51:15 2024,721,123,57,172,304,212,41,898,16
Thu Dec 05 12:51:15 2024,722,118,60,164,291,252,83,903,17
Thu Dec 05 12:51:15 2024,722,123,61,189,281,273,103,903,20
Thu Dec 05 12:51:15 2024,722,121,64,187,272,270,130,897,16
Thu Dec 05 12:51:15 2024,749,130,66,175,270,260,144,904,20
Thu Dec 05 12:51:15 2024,751,123,64,164,261,255,153,902,16
Thu Dec 05 12:51:15 2024,751,114,76,165,262,232,165,906,16
Thu Dec 05 12:51:15 2024,779,101,79,168,249,228,163,898,15
Thu Dec 05 12:51:15 2024,780,94,88,170,239,212,154,901,18
Thu Dec 05 12:51:15 2024,781,85,89,177,241,224,161,899,18
Thu Dec 05 12:51:15 2024,810,74,83,166,232,248,180,905,15
Thu Dec 05 12:51:15 2024,811,68,85,172,221,241,174,900,19
Thu Dec 05 12:51:15 2024,812,81,81,173,226,252,155,894,14
Thu Dec 05 12:51:15 2024,813,79,76,149,221,225,138,885,17
Thu Dec 05 12:51:15 2024,839,87,72,130,211,221,123,877,15
Thu Dec 05 12:51:15 2024,840,92,73,133,222,203,124,866,13
Thu Dec 05 12:51:15 2024,841,88,76,120,220,193,124,876,17
Thu Dec 05 12:51:15 2024,842,106,72,120,213,188,125,876,16
