Timestamp,Millis,Myo0,Myo1,Myo2,Myo3,Myo4,Myo5,Myo6,Myo7
Mon Dec 02 21:19:24 2024,285,47.379,45.448,133.241,207.207,60.655,210.241,84.138,53.931
Mon Dec 02 21:19:24 2024,290,45.828,44.069,126.345,182.724,59.793,183.345,94.483,53.759
Mon Dec 02 21:19:24 2024,295,44.276,42.690,119.448,158.241,58.931,156.448,104.828,53.586
Mon Dec 02 21:19:24 2024,300,42.724,41.310,112.552,133.759,58.069,129.552,115.172,53.414
Mon Dec 02 21:19:24 2024,305,41.172,39.931,105.655,109.276,57.207,102.655,125.517,53.241
Mon Dec 02 21:19:24 2024,310,39.621,38.552,98.759,84.793,56.345,75.759,135.862,53.069
Mon Dec 02 21:19:24 2024,315,47.893,51.571,112.000,214.321,62.714,67.786,134.071,53.929
Mon Dec 02 21:19:24 2024,320,47.357,49.429,117.000,210.929,61.286,91.714,134.429,53.571
Mon Dec 02 21:19:24 2024,325,46.821,47.286,122.000,207.536,59.857,115.643,134.786,53.214
Mon Dec 02 21:19:24 2024,330,46.286,45.143,127.000,204.143,58.429,139.571,135.143,52.857
Mon Dec 02 21:19:24 2024,335,45.750,43.000,132.000,200.750,57.000,163.500,135.500,52.500
Mon Dec 02 21:19:24 2024,340,45.214,40.857,137.000,197.357,55.571,187.429,135.857,52.143
Mon Dec 02 21:19:24 2024,345,42.138,42.138,165.000,179.310,54.172,122.552,239.655,47.310
Mon Dec 02 21:19:24 2024,350,42.828,42.828,170.000,175.862,55.034,110.310,232.931,48.862
Mon Dec 02 21:19:24 2024,355,43.517,43.517,175.000,172.414,55.897,98.069,226.207,50.414
Mon Dec 02 21:19:24 2024,360,44.207,44.207,180.000,168.966,56.759,85.828,219.483,51.966
Mon Dec 02 21:19:24 2024,365,44.897,44.897,185.000,165.517,57.621,73.586,212.759,53.517
Mon Dec 02 21:19:24 2024,370,45.586,45.586,190.000,162.069,58.483,61.345,206.034,55.069
Mon Dec 02 21:19:24 2024,375,43.000,44.500,183.500,201.500,62.500,118.500,177.500,53.000
Mon Dec 02 21:19:24 2024,380,47.920,50.600,57.800,55.480,63.400,60.840,116.200,52.480
Mon Dec 02 21:19:24 2024,385,47.720,49.600,59.800,56.680,64.400,70.440,109.200,53.680
Mon Dec 02 21:19:24 2024,390,47.520,48.600,61.800,57.880,65.400,80.040,102.200,54.880
Mon Dec 02 21:19:24 2024,395,47.320,47.600,63.800,59.080,66.400,89.640,95.200,56.080
Mon Dec 02 21:19:24 2024,400,47.120,46.600,65.800,60.280,67.400,99.240,88.200,57.280
Mon Dec 02 21:19:24 2024,405,53.000,41.000,121.000,149.000,65.000,102.000,89.000,54.000
Mon Dec 02 21:19:24 2024,410,51.704,43.222,185.815,146.778,68.333,104.037,91.037,53.630
Mon Dec 02 21:19:24 2024,415,50.407,45.444,250.630,144.556,71.667,106.074,93.074,53.259
Mon Dec 02 21:19:24 2024,420,49.111,47.667,315.444,142.333,75.000,108.111,95.111,52.889
Mon Dec 02 21:19:24 2024,425,47.815,49.889,380.259,140.111,78.333,110.148,97.148,52.519
Mon Dec 02 21:19:24 2024,430,46.519,52.111,445.074,137.889,81.667,112.185,99.185,52.148
Mon Dec 02 21:19:24 2024,435,53.000,39.000,77.000,134.000,61.000,114.000,174.000,47.000
Mon Dec 02 21:19:24 2024,440,52.815,39.185,72.370,139.185,62.111,112.333,169.741,48.481
Mon Dec 02 21:19:24 2024,445,52.630,39.370,67.741,144.370,63.222,110.667,165.481,49.963
Mon Dec 02 21:19:24 2024,450,52.444,39.556,63.111,149.556,64.333,109.000,161.222,51.444
Mon Dec 02 21:19:24 2024,455,52.259,39.741,58.481,154.741,65.444,107.333,156.963,52.926
Mon Dec 02 21:19:24 2024,460,52.074,39.926,53.852,159.926,66.556,105.667,152.704,54.407
Mon Dec 02 21:19:24 2024,465,46.071,39.536,140.000,114.500,63.893,81.679,158.500,55.964
Mon Dec 02 21:19:24 2024,470,46.429,42.214,125.000,107.000,63.357,85.071,141.000,55.786
Mon Dec 02 21:19:24 2024,475,46.786,44.893,110.000,99.500,62.821,88.464,123.500,55.607
