Timestamp,Millis,thumb_tm_aa,thumb_tm_flex,thumb_mcp_aa,thumb_mcp_flex,index_mcp_aa,index_mcp_flex,index_pip,middle_mcp_aa,middle_mcp_flex,middle_pip,ring_mcp_aa,ring_mcp_flex,ring_pip,little_mcp_aa,little_mcp_flex,little_pip
Mon Dec 02 20:47:31 2024,785,-23.402,-23.402,-0.115,0.115,2.172,23.265,10.729,4.786,14.853,13.235,-4.862,11.657,8.478,11.220,7.256,5.900
Mon Dec 02 20:47:31 2024,790,-23.412,-23.412,-0.115,0.115,2.165,23.240,10.650,4.781,14.855,13.180,-4.843,11.672,8.457,11.249,7.252,5.897
Mon Dec 02 20:47:31 2024,795,-23.420,-23.420,-0.117,0.117,2.160,23.220,10.584,4.776,14.857,13.133,-4.827,11.684,8.439,11.273,7.249,5.894
Mon Dec 02 20:47:31 2024,800,-23.433,-23.433,-0.113,0.113,2.110,23.137,10.513,4.746,14.891,13.094,-4.827,11.682,8.413,11.266,7.263,5.861
Mon Dec 02 20:47:31 2024,805,-23.446,-23.446,-0.110,0.110,2.053,23.044,10.441,4.712,14.931,13.055,-4.830,11.677,8.386,11.255,7.280,5.822
Mon Dec 02 20:47:31 2024,810,-23.444,-23.444,-0.107,0.107,2.038,23.046,10.414,4.721,14.944,13.035,-4.818,11.746,8.383,11.250,7.312,5.808
Mon Dec 02 20:47:31 2024,815,-23.434,-23.434,-0.113,0.033,2.047,23.104,10.415,4.756,14.938,13.026,-4.797,11.854,8.394,11.250,7.350,5.809
Mon Dec 02 20:47:31 2024,820,-23.443,-23.443,-0.125,0.125,2.043,23.131,10.406,4.777,14.939,12.998,-4.795,11.904,8.376,11.242,7.380,5.796
Mon Dec 02 20:47:31 2024,825,-23.498,-23.498,-0.124,0.124,2.006,23.073,10.375,4.759,14.956,12.932,-4.837,11.801,8.293,11.220,7.376,5.754
Mon Dec 02 20:47:31 2024,830,-23.552,-23.552,-0.155,0.155,1.970,23.016,10.344,4.740,14.973,12.865,-4.880,11.698,8.210,11.199,7.371,5.712
Mon Dec 02 20:47:31 2024,835,-23.578,-23.578,-0.176,0.176,2.039,23.074,10.339,4.777,14.922,12.827,-4.870,11.636,8.181,11.219,7.371,5.761
Mon Dec 02 20:47:31 2024,840,-23.602,-23.602,-0.201,0.201,2.114,23.139,10.337,4.816,14.868,12.790,-4.858,11.578,8.155,11.241,7.370,5.814
Mon Dec 02 20:47:31 2024,845,-23.592,-23.592,-0.184,0.184,2.156,23.155,10.333,4.838,14.813,12.758,-4.845,11.548,8.153,11.270,7.331,5.796
Mon Dec 02 20:47:31 2024,850,-23.568,-23.568,-0.152,0.152,2.186,23.152,10.328,4.854,14.758,12.725,-4.831,11.528,8.160,11.302,7.276,5.752
Mon Dec 02 20:47:31 2024,855,-23.546,-23.546,-0.133,0.133,2.200,23.144,10.318,4.855,14.723,12.699,-4.824,11.521,8.166,11.332,7.230,5.714
Mon Dec 02 20:47:31 2024,860,-23.543,-23.543,-0.143,0.143,2.177,23.141,10.294,4.827,14.752,12.688,-4.836,11.538,8.160,11.348,7.227,5.719
Mon Dec 02 20:47:31 2024,865,-23.540,-23.540,-0.154,0.154,2.156,23.136,10.267,4.802,14.778,12.676,-4.847,11.553,8.152,11.363,7.225,5.723
Mon Dec 02 20:47:31 2024,870,-23.515,-23.515,-0.148,0.148,2.186,23.100,10.196,4.821,14.736,12.630,-4.827,11.527,8.125,11.351,7.231,5.707
Mon Dec 02 20:47:31 2024,875,-23.491,-23.491,-0.141,0.141,2.218,23.067,10.131,4.845,14.690,12.588,-4.806,11.499,8.101,11.337,7.237,5.690
Mon Dec 02 20:47:31 2024,880,-23.501,-23.501,-0.128,0.128,2.206,23.045,10.102,4.828,14.708,12.556,-4.814,11.489,8.065,11.327,7.230,5.633
Mon Dec 02 20:47:31 2024,885,-23.529,-23.529,-0.124,0.124,2.170,23.032,10.096,4.792,14.756,12.534,-4.837,11.492,8.028,11.321,7.215,5.561
Mon Dec 02 20:47:31 2024,890,-23.550,-23.550,-0.125,0.125,2.149,23.022,10.086,4.774,14.788,12.510,-4.842,11.501,7.997,11.322,7.206,5.519
Mon Dec 02 20:47:31 2024,895,-23.548,-23.548,-0.120,0.120,2.174,23.021,10.069,4.811,14.768,12.488,-4.799,11.526,7.986,11.347,7.217,5.565
Mon Dec 02 20:47:31 2024,900,-23.547,-23.547,-0.120,0.120,2.195,23.021,10.055,4.844,14.749,12.469,-4.762,11.548,7.977,11.369,7.226,5.605
Mon Dec 02 20:47:31 2024,905,-23.563,-23.563,-0.119,0.119,2.161,23.052,10.099,4.794,14.800,12.443,-4.806,11.553,7.956,11.341,7.247,5.597
