Timestamp,Millis,Myo0,Myo1,Myo2,Myo3,Myo4,Myo5,Myo6,Myo7
Mon Dec 02 20:54:42 2024,178,42,40,71,196,55,80,198,55
Mon Dec 02 20:54:42 2024,178,51,45,223,134,65,79,59,57
Mon Dec 02 20:54:42 2024,179,41,51,147,165,66,142,82,56
Mon Dec 02 20:54:42 2024,207,49,48,391,191,58,110,147,54
Mon Dec 02 20:54:42 2024,208,42,45,109,153,68,109,247,53
Mon Dec 02 20:54:42 2024,209,52,51,188,82,62,124,67,47
Mon Dec 02 20:54:42 2024,209,51,52,194,159,68,166,274,59
Mon Dec 02 20:54:42 2024,209,46,49,288,142,68,158,118,48
Mon Dec 02 20:54:42 2024,236,46,51,194,128,62,68,165,58
Mon Dec 02 20:54:42 2024,237,48,47,403,204,63,172,105,55
Mon Dec 02 20:54:42 2024,237,48,52,202,122,67,124,108,54
Mon Dec 02 20:54:42 2024,238,47,48,104,56,64,75,108,54
Mon Dec 02 20:54:42 2024,266,47,48,166,192,58,147,98,52
Mon Dec 02 20:54:42 2024,267,53,48,175,206,62,58,175,59
Mon Dec 02 20:54:42 2024,267,49,49,122,192,63,186,56,51
Mon Dec 02 20:54:42 2024,267,39,47,57,161,62,113,72,55
Mon Dec 02 20:54:42 2024,296,53,46,47,82,64,89,135,52
Mon Dec 02 20:54:42 2024,296,47,48,272,59,55,148,275,54
Mon Dec 02 20:54:42 2024,297,48,63,485,89,57,56,58,54
Mon Dec 02 20:54:42 2024,297,54,44,149,209,63,166,67,55
Mon Dec 02 20:54:42 2024,326,54,54,269,134,64,102,60,49
Mon Dec 02 20:54:42 2024,327,52,47,235,188,57,72,65,53
Mon Dec 02 20:54:42 2024,327,50,52,148,140,65,139,55,54
Mon Dec 02 20:54:42 2024,327,48,43,75,99,63,68,79,43
Mon Dec 02 20:54:42 2024,327,53,40,228,78,64,106,113,62
Mon Dec 02 20:54:42 2024,356,49,51,211,146,65,74,173,53
Mon Dec 02 20:54:42 2024,357,40,39,212,173,58,62,73,54
Mon Dec 02 20:54:42 2024,357,55,49,121,144,67,160,113,55
Mon Dec 02 20:54:42 2024,386,41,51,102,103,56,133,109,50
Mon Dec 02 20:54:42 2024,387,49,49,92,58,69,179,146,55
Mon Dec 02 20:54:42 2024,387,52,48,197,87,59,66,165,58
Mon Dec 02 20:54:42 2024,387,50,54,190,184,56,156,157,51
Mon Dec 02 20:54:42 2024,388,50,47,230,124,64,164,96,56
Mon Dec 02 20:54:42 2024,416,47,44,113,130,66,149,202,53
Mon Dec 02 20:54:42 2024,416,48,38,117,98,63,204,57,51
Mon Dec 02 20:54:42 2024,417,51,45,139,84,63,91,150,54
Mon Dec 02 20:54:42 2024,417,49,49,136,113,65,68,165,48
Mon Dec 02 20:54:42 2024,446,41,44,109,60,55,88,152,54
Mon Dec 02 20:54:42 2024,446,48,51,333,146,64,102,101,47
Mon Dec 02 20:54:42 2024,447,48,39,178,176,63,108,151,52
Mon Dec 02 20:54:42 2024,447,42,39,230,67,64,80,173,59
Mon Dec 02 20:54:42 2024,447,48,51,227,71,68,120,147,45
Mon Dec 02 20:54:42 2024,476,47,56,350,76,64,136,116,60
Mon Dec 02 20:54:42 2024,477,45,42,271,103,63,127,156,51
Mon Dec 02 20:54:42 2024,477,47,50,159,71,64,64,86,55
Mon Dec 02 20:54:42 2024,477,41,38,217,178,63,141,147,60
Mon Dec 02 20:54:42 2024,537,41,49,244,187,64,108,64,48
Mon Dec 02 20:54:42 2024,538,40,51,198,148,64,64,131,47
Mon Dec 02 20:54:42 2024,538,49,49,291,114,60,154,238,54
Mon Dec 02 20:54:42 2024,567,48,39,491,121,67,68,67,48
Mon Dec 02 20:54:42 2024,570,48,51,143,107,68,149,88,54
Mon Dec 02 20:54:42 2024,570,50,49,219,190,56,156,157,55
Mon Dec 02 20:54:42 2024,597,43,39,166,173,57,115,132,56
Mon Dec 02 20:54:42 2024,597,53,45,186,113,65,91,110,48
Mon Dec 02 20:54:42 2024,598,48,50,141,242,60,129,157,52
Mon Dec 02 20:54:42 2024,598,49,52,213,137,57,109,91,60
Mon Dec 02 20:54:42 2024,598,46,52,300,180,67,64,135,55
Mon Dec 02 20:54:42 2024,599,45,43,231,209,66,127,67,54
Mon Dec 02 20:54:42 2024,600,53,54,158,132,64,136,140,54
Mon Dec 02 20:54:42 2024,627,45,45,86,55,61,68,192,58
Mon Dec 02 20:54:42 2024,627,50,50,222,226,63,156,262,59
Mon Dec 02 20:54:42 2024,628,50,49,296,143,59,70,142,55
Mon Dec 02 20:54:42 2024,628,50,58,293,110,63,99,173,55
Mon Dec 02 20:54:42 2024,628,54,40,480,129,64,203,86,54
Mon Dec 02 20:54:42 2024,628,43,49,258,140,66,147,129,54
Mon Dec 02 20:54:42 2024,631,42,49,91,99,58,161,97,53
Mon Dec 02 20:54:42 2024,656,50,49,203,214,58,118,158,54
Mon Dec 02 20:54:42 2024,657,43,49,207,102,69,194,139,57
Mon Dec 02 20:54:42 2024,686,46,50,242,54,65,65,131,51
Mon Dec 02 20:54:42 2024,687,45,51,121,149,69,105,87,57
Mon Dec 02 20:54:42 2024,687,56,54,105,174,65,124,163,59
Mon Dec 02 20:54:42 2024,687,48,48,141,104,69,104,130,58
Mon Dec 02 20:54:42 2024,688,42,47,169,179,69,130,105,52
Mon Dec 02 20:54:42 2024,688,51,45,198,190,64,70,157,60
Mon Dec 02 20:54:42 2024,716,49,51,214,217,57,148,124,50
Mon Dec 02 20:54:42 2024,716,49,50,396,151,67,172,122,55
Mon Dec 02 20:54:42 2024,717,46,48,154,55,55,83,87,57
Mon Dec 02 20:54:42 2024,717,45,46,93,161,64,190,114,57
Mon Dec 02 20:54:42 2024,746,54,54,172,147,61,75,146,52
Mon Dec 02 20:54:42 2024,746,48,54,192,156,64,148,141,56
Mon Dec 02 20:54:42 2024,747,42,55,123,215,64,115,57,56
Mon Dec 02 20:54:42 2024,747,46,55,234,89,59,80,131,56
Mon Dec 02 20:54:42 2024,747,50,49,291,180,62,165,50,59
Mon Dec 02 20:54:42 2024,776,50,53,284,117,61,166,175,78
Mon Dec 02 20:54:42 2024,778,45,49,476,109,62,159,131,56
Mon Dec 02 20:54:42 2024,779,54,39,213,171,65,65,116,49
Mon Dec 02 20:54:42 2024,779,43,45,201,102,69,84,124,56
Mon Dec 02 20:54:42 2024,806,46,41,200,173,63,74,158,54
Mon Dec 02 20:54:42 2024,807,50,48,122,162,66,169,57,59
Mon Dec 02 20:54:42 2024,807,50,46,120,168,61,101,72,60
Mon Dec 02 20:54:42 2024,836,49,52,475,211,62,154,60,65
Mon Dec 02 20:54:42 2024,837,51,57,251,89,64,118,154,53
Mon Dec 02 20:54:42 2024,837,46,48,181,197,65,168,61,49
Mon Dec 02 20:54:42 2024,838,49,47,118,204,60,61,147,60
Mon Dec 02 20:54:42 2024,838,54,54,225,176,68,178,143,60
Mon Dec 02 20:54:42 2024,866,49,48,211,195,68,210,140,61
Mon Dec 02 20:54:42 2024,867,49,50,99,184,56,63,210,53
Mon Dec 02 20:54:42 2024,868,49,47,254,205,63,104,71,53
Mon Dec 02 20:54:42 2024,868,50,53,111,107,59,155,125,48
Mon Dec 02 20:54:42 2024,896,54,39,381,138,64,65,60,50
Mon Dec 02 20:54:42 2024,897,51,51,225,143,68,159,84,57
Mon Dec 02 20:54:42 2024,898,46,40,219,186,59,132,148,55
Mon Dec 02 20:54:42 2024,898,41,50,188,92,60,70,61,48
Mon Dec 02 20:54:42 2024,898,51,48,243,132,62,64,114,55
Mon Dec 02 20:54:42 2024,927,45,49,493,87,73,115,168,61
Mon Dec 02 20:54:42 2024,928,54,55,187,174,66,127,242,70
Mon Dec 02 20:54:42 2024,928,49,55,284,61,62,112,64,63
Mon Dec 02 20:54:42 2024,928,55,44,181,95,63,66,83,52
Mon Dec 02 20:54:42 2024,956,49,56,221,49,69,79,125,49
Mon Dec 02 20:54:42 2024,957,41,48,66,62,57,123,146,53
Mon Dec 02 20:54:42 2024,957,46,40,174,103,67,105,149,51
Mon Dec 02 20:54:42 2024,986,52,46,168,114,65,120,156,56
Mon Dec 02 20:54:42 2024,987,49,49,148,124,62,104,65,55
Mon Dec 02 20:54:42 2024,987,41,46,203,61,65,172,147,57
Mon Dec 02 20:54:42 2024,987,49,54,235,170,65,151,155,59
Mon Dec 02 20:54:42 2024,987,53,49,207,186,62,163,181,55
Mon Dec 02 20:54:42 2024,988,53,54,166,237,60,124,81,54
Mon Dec 02 20:54:43 2024,16,52,50,113,199,64,80,149,40
Mon Dec 02 20:54:43 2024,16,48,48,139,141,63,89,138,56
Mon Dec 02 20:54:43 2024,17,52,54,262,160,63,143,163,47
Mon Dec 02 20:54:43 2024,46,53,46,179,56,56,101,122,60
Mon Dec 02 20:54:43 2024,47,53,47,258,120,63,201,55,55
Mon Dec 02 20:54:43 2024,48,51,53,217,174,55,218,185,57
Mon Dec 02 20:54:43 2024,48,51,49,188,151,59,170,83,54
Mon Dec 02 20:54:43 2024,48,48,38,334,57,57,66,54,56
Mon Dec 02 20:54:43 2024,76,47,48,51,74,65,67,209,57
Mon Dec 02 20:54:43 2024,77,42,40,143,198,66,121,53,80
Mon Dec 02 20:54:43 2024,79,45,46,175,158,63,195,190,55
Mon Dec 02 20:54:43 2024,79,41,56,176,195,61,196,156,62
Mon Dec 02 20:54:43 2024,106,54,54,190,179,57,152,118,58
Mon Dec 02 20:54:43 2024,107,48,49,470,111,63,184,84,57
Mon Dec 02 20:54:43 2024,107,44,50,252,146,63,134,137,56
Mon Dec 02 20:54:43 2024,136,49,51,155,185,65,144,54,56
Mon Dec 02 20:54:43 2024,137,44,47,327,105,61,119,60,55
Mon Dec 02 20:54:43 2024,137,45,51,266,192,59,159,83,58
Mon Dec 02 20:54:43 2024,166,52,43,181,109,70,179,210,51
Mon Dec 02 20:54:43 2024,167,46,47,260,132,59,128,161,57
Mon Dec 02 20:54:43 2024,167,46,47,150,133,60,158,126,48
Mon Dec 02 20:54:43 2024,167,43,41,54,139,68,66,126,57
Mon Dec 02 20:54:43 2024,168,49,43,115,77,64,106,151,57
Mon Dec 02 20:54:43 2024,196,48,51,214,58,64,183,150,67
Mon Dec 02 20:54:43 2024,197,51,51,69,87,68,99,293,54
Mon Dec 02 20:54:43 2024,198,46,54,434,229,57,135,151,56
Mon Dec 02 20:54:43 2024,198,45,50,472,169,64,61,144,52
Mon Dec 02 20:54:43 2024,199,53,54,256,76,56,158,239,60
Mon Dec 02 20:54:43 2024,199,48,46,65,104,69,93,149,57
Mon Dec 02 20:54:43 2024,226,55,40,273,133,69,69,154,50
Mon Dec 02 20:54:43 2024,227,50,48,219,140,65,123,72,55
Mon Dec 02 20:54:43 2024,227,43,45,169,174,65,65,121,60
Mon Dec 02 20:54:43 2024,227,49,56,122,89,69,164,112,56
Mon Dec 02 20:54:43 2024,256,49,53,456,192,64,113,146,53
Mon Dec 02 20:54:43 2024,257,50,42,495,113,64,119,101,53
Mon Dec 02 20:54:43 2024,258,45,46,192,214,68,81,150,47
Mon Dec 02 20:54:43 2024,258,53,52,149,86,63,90,114,53
Mon Dec 02 20:54:43 2024,286,53,40,182,138,64,126,161,56
Mon Dec 02 20:54:43 2024,287,50,43,233,120,76,155,225,58
Mon Dec 02 20:54:43 2024,288,43,39,196,147,56,97,161,59
Mon Dec 02 20:54:43 2024,288,54,38,107,179,68,165,194,51
Mon Dec 02 20:54:43 2024,288,53,54,156,229,65,92,59,93
Mon Dec 02 20:54:43 2024,317,50,45,140,73,63,69,60,60
Mon Dec 02 20:54:43 2024,318,40,50,230,222,68,91,164,54
Mon Dec 02 20:54:43 2024,319,49,47,150,73,61,90,93,53
Mon Dec 02 20:54:43 2024,320,48,47,202,190,60,107,126,46
Mon Dec 02 20:54:43 2024,346,49,48,132,162,62,106,112,50
Mon Dec 02 20:54:43 2024,347,50,47,119,163,64,62,143,54
Mon Dec 02 20:54:43 2024,347,49,46,185,80,63,138,71,48
Mon Dec 02 20:54:43 2024,347,56,49,161,85,64,68,139,54
Mon Dec 02 20:54:43 2024,376,52,56,260,161,66,140,153,57
Mon Dec 02 20:54:43 2024,377,53,50,312,188,66,140,90,61
Mon Dec 02 20:54:43 2024,377,54,49,285,200,65,86,136,58
Mon Dec 02 20:54:43 2024,378,55,43,147,82,65,120,145,61
Mon Dec 02 20:54:43 2024,406,50,49,360,159,67,134,158,61
Mon Dec 02 20:54:43 2024,408,50,46,116,71,67,95,233,56
Mon Dec 02 20:54:43 2024,409,50,50,262,158,59,64,94,57
Mon Dec 02 20:54:43 2024,409,52,54,260,112,70,106,147,57
Mon Dec 02 20:54:43 2024,409,47,46,254,55,64,132,144,57
Mon Dec 02 20:54:43 2024,436,51,54,57,192,73,85,160,59
Mon Dec 02 20:54:43 2024,438,53,51,316,133,67,161,102,60
Mon Dec 02 20:54:43 2024,439,55,54,279,93,69,106,131,55
Mon Dec 02 20:54:43 2024,439,49,50,133,212,61,153,141,58
Mon Dec 02 20:54:43 2024,466,50,50,246,164,63,68,68,58
Mon Dec 02 20:54:43 2024,467,54,53,223,88,69,122,104,57
